golden_id,name,domain,industry,employees,country,city,email,revenue_band,founded_year,source_count
G00001,Drift Technologies GmbH,drifttechnologies.com,Consumer Retail,1080,United States,Austin,info@drifttechnologies.com,,,1
G00002,Birch Solutions Inc.,birchsolutions.com,Financial Services,3200,Germany,Berlin,info@birchsolutions.com,<$1M,1991,3
G00003,Granite Industries LLC,graniteindustries.com,Education Technology,22,Germany,Munich,info@graniteindustries.com,<$1M,1996,3
G00004,Granite Systems GmbH,granitesystems.com,Interactive Entertainment,3200,Canada,Vancouver,info@granitesystems.com,$250M+,2021,3
G00005,Kestrel Systems Ltd.,kestrelsystems.com,Interactive Entertainment,22,Germany,Munich,info@kestrelsystems.com,<$1M,2013,3
G00006,Glint Networks LLC,glintnetworks.com,Energy & Utilities,540,Canada,Vancouver,info@glintnetworks.com,$10M-$50M,2011,3
G00007,Thicket Works LLC,,Logistics & Supply Chain,800,Australia,Melbourne,info@thicketworks.com,$250M+,1997,3
G00008,Sterling Industries Ltd.,,Financial Services,480,Germany,Berlin,info@sterlingindustries.com,,,2
G00009,Thicket Networks Ltd.,thicketnetworks.com,Information Security,900,United States,Seattle,info@thicketnetworks.com,$10M-$50M,2010,2
G00010,Quartz Dynamics Inc.,quartzdynamics.com,Consumer Retail,280,India,Hyderabad,info@quartzdynamics.com,$50M-$250M,2015,3
G00011,Dovetail Works Inc.,dovetailworks.com,Consumer Retail,3200,Canada,Toronto,,$1M-$10M,1998,3
G00012,harbor technologies Inc.,harbortechnologies.com,Industrial Manufacturing,360,Australia,Sydney,info@harbortechnologies.com,,,1
G00013,Tideline Solutions Ltd.,tidelinesolutions.com,Financial Services,160,Germany,Munich,info@tidelinesolutions.com,<$1M,2006,3
G00014,Orbit Dynamics LLC,orbitdynamics.com,Interactive Entertainment,280,Canada,Vancouver,info@orbitdynamics.com,<$1M,2020,3
G00015,Northwind Works LLC,northwindworks.com,Logistics & Supply Chain,22,Germany,,info@northwindworks.com,$1M-$10M,2003,2
G00016,Northwind Industries Inc.,northwindindustries.com,Financial Services,90,Germany,Munich,info@northwindindustries.com,$10M-$50M,2002,3
G00017,Orbit Technologies LLC,orbittechnologies.com,Information Security,45,United Kingdom,London,info@orbittechnologies.com,$250M+,2008,3
G00018,Fathom Analytics LLC,fathomanalytics.com,Consumer Retail,22,Germany,Berlin,info@fathomanalytics.com,$10M-$50M,1994,3
G00019,Acorn Group LLC,acorngroup.com,Healthcare Technology,90,Canada,Toronto,info@acorngroup.com,$50M-$250M,2008,3
G00020,Fathom Labs Inc.,fathomlabs.com,Consumer Retail,540,United Kingdom,London,info@fathomlabs.com,$1M-$10M,2014,3
G00021,Thicket Technologies GmbH,thickettechnologies.com,Telecommunications,45,India,,,$50M-$250M,1992,2
G00022,Ember Group LLC,embergroup.com,Telecommunications,45,United Kingdom,London,info@embergroup.com,$50M-$250M,1994,3
G00023,Ember Works Ltd.,emberworks.com,Logistics & Supply Chain,90,United Kingdom,Manchester,info@emberworks.com,$10M-$50M,2010,2
G00024,Onyx Works GmbH,onyxworks.com,Healthcare Technology,280,Germany,Munich,info@onyxworks.com,<$1M,2017,3
G00025,Ember Industries LLC,emberindustries.com,Interactive Entertainment,280,Germany,Berlin,info@emberindustries.com,$1M-$10M,2004,2
G00026,Lumen Industries Ltd.,lumenindustries.com,Education Technology,160,Germany,Berlin,info@lumenindustries.com,$250M+,2021,3
G00027,Willow Industries Inc.,willowindustries.com,Information Security,3200,Canada,Toronto,info@willowindustries.com,$1M-$10M,1993,3
G00028,Sterling Labs Inc.,sterlinglabs.com,Education Technology,90,United Kingdom,,info@sterlinglabs.com,<$1M,2003,2
G00029,Elmwood Systems Inc.,elmwoodsystems.com,Telecommunications,540,United States,Boston,info@elmwoodsystems.com,$250M+,2022,3
G00030,Onyx Industries GmbH,onyxindustries.com,Information Security,280,Germany,Berlin,info@onyxindustries.com,<$1M,2006,2
G00031,Cobalt Labs LLC,,Logistics & Supply Chain,200,India,Pune,info@cobaltlabs.com,<$1M,2014,2
G00032,Inlet Dynamics,inletdynamics.com,Consumer Retail,,India,Hyderabad,info@inletdynamics.com,,,1
G00033,Orbit Systems Inc.,orbitsystems.com,Information Security,90,United States,Austin,,<$1M,2009,2
G00034,Zephyr Group GmbH,zephyrgroup.com,Consumer Retail,1800,United Kingdom,Manchester,info@zephyrgroup.com,$250M+,1998,3
G00035,Tideline Labs Inc.,tidelinelabs.com,Industrial Manufacturing,22,Australia,Sydney,info@tidelinelabs.com,$50M-$250M,2003,3
G00036,Hollow Works GmbH,hollowworks.com,Healthcare Technology,3200,United Kingdom,Bristol,info@hollowworks.com,<$1M,1993,3
G00037,Brightpath Dynamics Ltd.,brightpathdynamics.com,Energy & Utilities,280,Germany,Berlin,info@brightpathdynamics.com,<$1M,2001,3
G00038,Quartz Works Inc.,quartzworks.com,Interactive Entertainment,8,United States,Austin,info@quartzworks.com,$10M-$50M,1993,3
G00039,Meridian Solutions Inc.,meridiansolutions.com,Healthcare Technology,160,Canada,Toronto,info@meridiansolutions.com,$50M-$250M,2015,3
G00040,Anchor Works Co.,anchorworks.com,Financial Services,112,India,Pune,info@anchorworks.com,,,2
G00041,Umbra Analytics LLC,umbraanalytics.com,Information Security,900,Australia,Sydney,info@umbraanalytics.com,$10M-$50M,2013,3
G00042,"Orbit,Labs Ltd.",orbitlabs.com,Energy & Utilities,11,Germany,Munich,info@orbitlabs.com,,,2
G00043,Brightpath Labs GmbH,brightpathlabs.com,Energy & Utilities,8,Germany,Berlin,info@brightpathlabs.com,$250M+,2017,2
G00044,Jetty Systems Ltd.,jettysystems.com,Financial Services,900,United Kingdom,London,info@jettysystems.com,<$1M,2001,3
G00045,"cobalt,networks Co.",cobaltnetworks.com,Education Technology,54,India,Hyderabad,info@cobaltnetworks.com,,,1
G00046,Mosaic Solutions Ltd,mosaicsolutions.com,Financial Services,216,Australia,Melbourne,info@mosaicsolutions.com,,,2
G00047,Cobalt Systems Ltd.,cobaltsystems.com,Healthcare Technology,160,Australia,Melbourne,info@cobaltsystems.com,$250M+,2007,3
G00048,Yarrow Technologies Ltd,yarrowtechnologies.com,Logistics & Supply Chain,216,United Kingdom,,info@yarrowtechnologies.com,,,2
G00049,Willow Networks GmbH,willownetworks.com,Telecommunications,22,Australia,Sydney,info@willownetworks.com,<$1M,1995,3
G00050,Jetty Solutions GmbH,jettysolutions.com,Healthcare Technology,22,United States,Denver,info@jettysolutions.com,$250M+,2014,3
G00051,Umbra Dynamics Ltd.,umbradynamics.com,Telecommunications,1800,Australia,Melbourne,,$1M-$10M,2013,3
