crm_id,account_name,website,industry,headcount,country,city,primary_contact_email,last_updated
CRM5170,Drift Technologies GmbH,https://drifttechnologies.com,Retail,1080,United States,Austin,info@drifttechnologies.com,2023-03-09
CRM5058,Birch Solutions Co.,https://birchsolutions.com,Fintech,1600,DE,Berlin,info@birchsolutions.com,2023-04-28
CRM5064,Granite Industries,https://graniteindustries.com,Education,15,DE,Munich,info@graniteindustries.com,2024-10-26
CRM5219,"Granite,Systems LLC",granitesystems.com,Games,1280,CAN,,info@granitesystems.com,2022-10-05
CRM5077,Kestrel Systems Inc.,kestrelsystems.com,Games,8,Germany,Munich,info@kestrelsystems.com,2024-04-07
CRM5176,GLINT NETWORKS Ltd,glintnetworks.com,Energy,324,Canada,Vancouver,info@glintnetworks.com,2024-10-05
CRM5363,",thicket works Co. ",thicketworks.co3,Shipping,560,AUS,Melbourne,info@thicketworks.com,2022-02-22
CRM5361,Sterling Industries Ltd.,https://sterlingindustries.co2,Fintech,480,Germany,Berlin,info@sterlingindustries.com,2023-07-07
CRM5085, Thicket Networks ,thicketnetworks.com,Security,450,US,Seattle,info@thicketnetworks.com,2024-02-07
CRM5211,quartz dynamics Ltd,quartzdynamics.com,Retail,168,Bharat,Hyderabad,info@quartzdynamics.com,2023-11-08
CRM5012,dovetail works Inc,dovetailworks.com,Retail,1920,CA,Toronto,,2024-01-24
CRM5233,harbor technologies Inc.,https://harbortechnologies.com,Manufacturing,360,AUS,Sydney,info@harbortechnologies.com,2024-04-28
CRM5031,Tideline Solutions,tidelinesolutions.com,Fintech,80,Germany,Munich,info@tidelinesolutions.com,2024-08-20
CRM5164,Orbit Dynamics Corp,https://orbitdynamics.com,Games,112,Canada,Vancouver,info@orbitdynamics.com,2023-04-02
CRM5160,NORTHWIND WORKS LLC,northwindworks.com,Shipping,15,Deutschland,,info@northwindworks.com,2022-05-12
CRM5257,NORTHWIND INDUSTRIES Inc.,northwindindustries.com,Fintech,36,DE,Munich,info@northwindindustries.com,2024-03-04
CRM5080,"Orbit,Technologies GmbH",https://orbittechnologies.com,Security,22,Britain,,info@orbittechnologies.com,2024-11-17
